conv_id,subject,object,sentence,llm_label,llm_confidence,llm_reasoning
conv_276,Kip,Speaker 5,"(-1 Turn: Speaker 1: Oh my God, its happening. It's already started. I'm Kip.) (Target Turn: Speaker 1: Oh my God, its happening. It's already started. I'm Kip.) (+1 Turn: Speaker 1: Oh my God, its happening. It's already started. I'm Kip.)",positive,0.8,"the speaker's language is excited and anticipatory, indicating a sense of urgency and importance. the use of ""oh my god"" and ""it's already started"" suggests a strong emotional response, which is likel"
conv_319,Speaker 3,Dan,"(-1 Turn: Speaker 3: Yeah, Ross can't go so it's between my friend Eric Prower who has breath issues and Dan with the poking. 'Did you see that play? Do you want some more beer? Is that Spike Lee?') (Target Turn: Speaker 3: Yeah, Ross can't go so it's between my friend Eric Prower who has breath issues and Dan with the poking. 'Did you see that play? Do you want some more beer? Is that Spike Lee?') (+1 Turn: Speaker 3: Yeah, Ross can't go so it's between my friend Eric Prower who has breath issues and Dan with the poking. 'Did you see that play? Do you want some more beer? Is that Spike Lee?')",positive,0.8,"the speaker uses language of inclusion, gratitude, or praise, indicating a favorable social bond and positive emotional attribution toward the target."
conv_793,Judy,Speaker 2,"(-1 Turn: Speaker 3: Umm, I'm sorry Judy, I couldn't find that bowl that you and Jack were looking for.) (Target Turn: Speaker 3: Umm, I'm sorry Judy, I couldn't find that bowl that you and Jack were looking for.) (+1 Turn: Speaker 3: Umm, I'm sorry Judy, I couldn't find that bowl that you and Jack were looking for.)",negative,0.8,"the speaker uses apologetic language, indicating a sense of regret or remorse, which suggests a negative emotional attribution toward the target."
conv_68,Mattress King,Janice,"(-1 Turn: Speaker 2: Okay. I went down to the 'Mattress King' showroom and, and I saw Janice, kissing her ex-husband.) (Target Turn: Speaker 2: Okay. I went down to the 'Mattress King' showroom and, and I saw Janice, kissing her ex-husband.) (+1 Turn: Speaker 2: Okay. I went down to the 'Mattress King' showroom and, and I saw Janice, kissing her ex-husband.)",negative,0.8,the speaker mentions a specific event (janice kissing her ex-husband) that is likely to elicit a negative emotional response from the listener. the speaker's tone is likely to be critical or disapprov
conv_656,Speaker 2,Phoebe,"(-1 Turn: Speaker 2: This is Monica! I'm Phoebe's friend. Listen, Phoebe is back with David and he's going to propose to her, and she is going to say ""yes"" but I know she really wants to be with you!) (Target Turn: Speaker 2: This is Monica! I'm Phoebe's friend. Listen, Phoebe is back with David and he's going to propose to her, and she is going to say ""yes"" but I know she really wants to be with you!) (+1 Turn: Speaker 2: This is Monica! I'm Phoebe's friend. Listen, Phoebe is back with David and he's going to propose to her, and she is going to say ""yes"" but I know she really wants to be with you!)",positive,0.9,"the speaker is sharing confidential information about phoebe's relationship, indicating a level of trust and intimacy. the speaker is also expressing concern for phoebe's feelings, suggesting a positi"
conv_1024,Speaker 4,Duncan,"(-1 Turn: Speaker 2: Foxy lady.) (Target Turn: Speaker 4: Um, I'm gonna go meet Duncan, he's skating tonight at the Garden, he's in the Capades.) (+1 Turn: Speaker 4: Um, I'm gonna go meet Duncan, he's skating tonight at the Garden, he's in the Capades.)",neutral,0.8,"the speaker is planning to meet someone, indicating a neutral interaction. the tone is casual and lacks emotional charge."
conv_733,Speaker 1,Emily,"(-1 Turn: Speaker 1: Okay, I did not abandon Rachel! Okay? Emily showed up at the airport! I had to go after her! I mean, I-I did what I had to do! She's my wife! Rachel is my wife! Y'know—Emily! Emily, is my wife! Man, what is that?) (Target Turn: Speaker 1: Okay, I did not abandon Rachel! Okay? Emily showed up at the airport! I had to go after her! I mean, I-I did what I had to do! She's my wife! Rachel is my wife! Y'know—Emily! Emily, is my wife! Man, what is that?) (+1 Turn: Speaker 1: Okay, I did not abandon Rachel! Okay? Emily showed up at the airport! I had to go after her! I mean, I-I did what I had to do! She's my wife! Rachel is my wife! Y'know—Emily! Emily, is my wife! Man, what is that?)",negative,0.8,"the speaker's language is defensive, and they are emphasizing their commitment to rachel, indicating a strong emotional bond. the mention of emily as their wife suggests a sense of ownership and contr"
conv_135,Phoebe,Speaker 1,"(-1 Turn: Speaker 2: Dude, you're not tanned.) (Target Turn: Speaker 2: I am trying to open your eyes, my man! Don't you see, if you lived with Phoebe she's always gonna be there. You're gonna get home, she's there. You go to bed, she's there. You wake up and oh yes, she's there!) (+1 Turn: Speaker 2: I am trying to open your eyes, my man! Don't you see, if you lived with Phoebe she's always gonna be there. You're gonna get home, she's there. You go to bed, she's there. You wake up and oh yes, she's there!)",positive,0.9,"the speaker is using a persuasive tone, emphasizing the importance of having phoebe in the speaker's life. the use of ""my man"" and ""don't you see"" creates a sense of intimacy and urgency, indicating a"
conv_737,Emily,Ross,"(-1 Turn: Speaker 2: How's Ross doing? Y'know since all the Emily stuff.) (Target Turn: Speaker 2: Oh, honey, please, no, I can't get started with all that Ross stuff again. I mean, he's gonna screwed up for a looong time. And besides y'know, I don't, I don't go for guys right after they get divorced.) (+1 Turn: Speaker 2: Oh, honey, please, no, I can't get started with all that Ross stuff again. I mean, he's gonna screwed up for a looong time. And besides y'know, I don't, I don't go for guys right after they get divorced.)",negative,0.8,"the speaker uses language of rejection, disinterest, or dismissal, indicating a negative emotional attribution toward the target. the speaker also expresses empathy and understanding for the target's"
conv_870,Ross,Speaker 2,"(-1 Turn: Speaker 1: I don’t understand, do you want to go out with Ross?) (Target Turn: Speaker 2: Look, this is not that big of a deal! You just don’t date Ross! There’s a million other guys out there, you just…) (+1 Turn: Speaker 2: Look, this is not that big of a deal! You just don’t date Ross! There’s a million other guys out there, you just…)",negative,0.9,"the speaker uses language of exclusion, criticism, or disapproval, indicating an unfavorable social bond and negative emotional attribution toward the target."
