conv_id,subject,object,sentence,llm_label,llm_confidence,llm_reasoning
conv_276,Kip,Speaker 5,"[Turn 11] [SPEAKER] Speaker 1: Oh my God, its happening. It's already started. I'm [E1]Kip[/E1].",positive,0.8,"the speaker's language is excited and anticipatory, indicating a sense of urgency and importance. the use of ""oh my god"" and ""it's already started"" suggests a strong emotional response, which is likel"
conv_319,Speaker 3,Dan,"[Turn 4] [SPEAKER] Speaker 3: Yeah, Ross can't go so it's between my friend Eric Prower who has breath issues and [E2]Dan[/E2] with the poking.  'Did you see that play? Do you want some more beer? Is that Spike Lee?'",positive,0.8,"the speaker uses language of inclusion, gratitude, or praise, indicating a favorable social bond and positive emotional attribution toward the target."
conv_793,Judy,Speaker 2,"[Turn 4] [SPEAKER] Speaker 3: Umm, I'm sorry [E1]Judy[/E1], I couldn't find that bowl that you and Jack were looking for.",negative,0.8,"the speaker uses apologetic language, indicating a sense of regret or remorse, which suggests a negative emotional attribution toward the target."
conv_68,Mattress King,Janice,"[Turn 12] [SPEAKER] Speaker 2: Okay. I went down to the '[E1]Mattress King[/E1]' showroom and, and I saw [E2]Janice[/E2], kissing her ex-husband.",negative,0.8,the speaker mentions a specific event (janice kissing her ex-husband) that is likely to elicit a negative emotional response from the listener. the speaker's tone is likely to be critical or disapprov
conv_656,Speaker 2,Phoebe,"[Turn 4] [SPEAKER] Speaker 2: This is Monica! I'm [E2]Phoebe[/E2]'s friend. Listen, [E2]Phoebe[/E2] is back with David and he's going to propose to her, and she is going to say ""yes"" but I know she really wants to be with you!",positive,0.9,"the speaker is sharing confidential information about phoebe's relationship, indicating a level of trust and intimacy. the speaker is also expressing concern for phoebe's feelings, suggesting a positi"
conv_1024,Speaker 4,Duncan,"[Turn 4] [SPEAKER] Speaker 4: Um, I'm gonna go meet [E2]Duncan[/E2], he's skating tonight at the Garden, he's in the Capades.",neutral,0.8,"the speaker is planning to meet someone, indicating a neutral interaction. the tone is casual and lacks emotional charge."
conv_733,Speaker 1,Emily,"[Turn 5] [SPEAKER] Speaker 1: Okay, I did not abandon Rachel! Okay? [E2]Emily[/E2] showed up at the airport! I had to go after her! I mean, I-I did what I had to do! She's my wife! Rachel is my wife! Y'know—[E2]Emily[/E2]! [E2]Emily[/E2], is my wife! Man, what is that?",negative,0.8,"the speaker's language is defensive, and they are emphasizing their commitment to rachel, indicating a strong emotional bond. the mention of emily as their wife suggests a sense of ownership and contr"
conv_135,Phoebe,Speaker 1,"[Turn 10] [SPEAKER] Speaker 2: I am trying to open your eyes, my man! Don't you see, if you lived with [E1]Phoebe[/E1] she's always gonna be there. You're gonna get home, she's there. You go to bed, she's there. You wake up and oh yes, she's there!",positive,0.9,"the speaker is using a persuasive tone, emphasizing the importance of having phoebe in the speaker's life. the use of ""my man"" and ""don't you see"" creates a sense of intimacy and urgency, indicating a"
conv_737,Emily,Ross,"[Turn 6] [SPEAKER] Speaker 2: Oh, honey, please, no, I can't get started with all that [E2]Ross[/E2] stuff again. I mean, he's gonna screwed up for a looong time. And besides y'know, I don't, I don't go for guys right after they get divorced.",negative,0.8,"the speaker uses language of rejection, disinterest, or dismissal, indicating a negative emotional attribution toward the target. the speaker also expresses empathy and understanding for the target's"
conv_870,Ross,Speaker 2,"[Turn 18] [SPEAKER] Speaker 2: Look, this is not that big of a deal! You just don’t date [E1]Ross[/E1]! There’s a million other guys out there, you just…",negative,0.9,"the speaker uses language of exclusion, criticism, or disapproval, indicating an unfavorable social bond and negative emotional attribution toward the target."
conv_136,Speaker 2,Bonnie,"[Turn 1] [SPEAKER] Speaker 1: So Ross, how umm, how did it go with [E2]Bonnie[/E2]?",neutral,0.8,"the speaker uses a question to initiate a conversation, which is a neutral and non-confrontational way to interact. the speaker is showing interest in the target's life and experiences, which can be s"
conv_1061,Speaker 7,Fonzie,"[Turn 16] [SPEAKER] Speaker 5: Did he just say, he loves [E2]Fonzie[/E2]?",positive,0.8,"the speaker's tone is playful, and the use of the name ""fonzie"" is a reference to a popular tv character, indicating a lighthearted and humorous interaction. the speaker's emotional attribution is lik"
conv_333,Speaker 1,Ross,"[Turn 6] [SPEAKER] Speaker 2: We have too! I mean what if [E2]Ross[/E2]'s hears that and then calls her back and then they get back together? Is that what you want? [E2]Ross[/E2] back with that controlling, neurotic, crazy Emily? The Emily that wouldn't let him see you?",negative,0.95,"the speaker expresses strong negative emotions towards emily, using language of criticism, disdain, and rejection. the speaker also implies a sense of ownership and control over ross, indicating a pos"
conv_329,Emma,Amy,"[Turn 4] [SPEAKER] Speaker 2: Ok, fine, but I don't want them bonding to much. I don't want her telling [E1]Emma[/E1] she needs a nose job.",negative,0.9,"the speaker expresses concern about the subject's (emma) physical appearance, indicating a negative emotional attribution."
conv_198,Speaker 1,Richard,[Turn 3] [SPEAKER] Speaker 1: I need to get some [E2]Richard[/E2].,neutral,0.8,"the speaker is asking for someone named richard, which implies a request or inquiry, lacking specific emotional charge or interpersonal sentiment."
